,pId,category
1614,3901,1P
1615,3902,3G
1616,3905,12P
1617,3908,22G
1618,3910,66G
1619,3918,67G
1620,3923,31S
1621,3924,2G
1622,3925,55S
1623,3926,51P
1624,3933,11G
1625,3934,46P
1626,3936,18G
1627,3943,2B
1628,3944,39S
1629,3948,48P
1630,3952,51S
1631,3954,18G
1632,3955,39P
1633,3959,4P
1634,3961,51S
1635,3964,22G
1636,3967,2G
1637,3973,49G
1638,3976,19S
1639,3977,14P
1640,3978,61G
1641,3980,47G
1642,3981,4G
1643,3982,2B
1644,3985,2B
1645,3986,13S
1646,3987,2S
1647,3988,5P
1648,3989,23P
1649,3991,56S
1650,3996,4G
1651,3997,16G
1652,4015,19P
1653,4016,34P
1654,4019,62S
1655,4030,4S
1656,4044,47G
1657,4046,51G
1658,4055,15S
1659,4056,2G
1660,4072,51B
